maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,9,8,9,8,13,90,98,1,1017,9,9,248,8,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,8,7,9,7,12,100,97,1.4,1017,9,9,231,8,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,8,8,9,8,16,84,94,0.5,1016,9,2,237,10,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,8,9,10,9,15,100,88,1.2,1015,10,9,239,11,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,7,7,9,7,16,94,89,0.3,1015,9,2,241,12,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,8,11,12,11,8,64,76,0.5,1015,12,5,253,7,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,10,14,15,14,12,74,72,1,1014,15,10,260,9,99709
15,9,0,-2.7,3,4,12:00 AM,12:00 AM,3:12 AM,12:39 AM,10,15,15,15,7,27,76,1,1014,15,9,264,4,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,8,8,9,8,13,21,93,0.2,1015,9,9,231,6,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,6,6,7,6,17,11,91,0,1016,7,10,216,8,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,6,10,11,10,11,8,74,0,1015,11,10,201,7,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,5,17,17,17,8,4,45,0,1013,17,10,244,7,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,3,21,21,21,3,3,31,0,1013,21,10,261,3,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,2,23,23,23,1,4,25,0,1011,23,10,63,1,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,1,21,23,21,7,5,26,0,1010,21,10,83,6,99709
23,7,0,-2.8,4,0,12:00 AM,12:00 AM,3:15 AM,12:37 AM,5,18,18,18,15,6,42,0,1009,18,10,70,7,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,3,13,14,13,20,11,47,0,1009,14,10,83,9,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,3,10,11,10,19,9,56,0,1009,11,10,68,9,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,5,16,16,16,17,8,49,0,1007,16,10,82,10,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,3,23,23,22,20,5,29,0,1005,22,10,90,18,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,-1,24,24,25,21,6,18,0,1004,25,10,87,18,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,-1,25,25,27,19,3,16,0,1002,27,10,85,16,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,1,25,25,26,20,5,19,0,1001,26,10,76,17,99709
27,11,0,-2.8,6,0,12:00 AM,12:00 AM,3:17 AM,12:35 AM,6,24,24,23,35,6,33,0,1002,23,10,60,18,99709
28,13,0,-2.9,6,3,5:50 AM,1:02 AM,3:20 AM,12:32 AM,8,16,16,16,21,5,57,0,1003,16,10,54,10,99709
28,13,0,-2.9,6,3,5:50 AM,1:02 AM,3:20 AM,12:32 AM,9,12,13,12,35,7,75,0,1004,13,10,60,17,99709
28,13,0,-2.9,6,3,5:50 AM,1:02 AM,3:20 AM,12:32 AM,9,17,17,17,11,7,59,0,1004,17,10,30,8,99709
