date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,18,26,26,24,58,14,71,0.0,1020,24,10,28,41,alaska
2018-12-11 03:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,17,25,25,23,52,9,72,0.0,1020,23,10,28,37,alaska
2018-12-11 06:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,13,18,18,18,45,7,72,0.0,1020,18,10,29,31,alaska
2018-12-11 09:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,15,21,24,21,44,5,67,0.0,1021,21,10,25,35,alaska
2018-12-11 12:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,15,25,25,23,36,6,60,0.0,1020,23,10,25,31,alaska
2018-12-11 15:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,15,25,25,23,36,7,62,0.0,1017,23,10,21,31,alaska
2018-12-11 18:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,17,22,25,22,46,6,72,0.0,1018,22,10,22,34,alaska
2018-12-11 21:00:00,23,18,0.0,11.1,6,21,11:02 AM,10:36 PM,07:35 AM,06:44 PM,17,25,25,22,41,4,73,0.0,1019,22,10,24,30,alaska
2018-12-12 00:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,17,22,25,22,33,4,75,0.0,1019,22,10,25,23,alaska
2018-12-12 03:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,17,21,24,21,28,13,76,0.0,1018,21,10,23,18,alaska
2018-12-12 06:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,13,17,17,17,30,11,77,0.0,1018,17,10,30,19,alaska
2018-12-12 09:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,14,21,24,21,17,7,64,0.0,1018,21,10,25,13,alaska
2018-12-12 12:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,16,28,28,28,2,13,50,0.0,1016,28,10,3,2,alaska
2018-12-12 15:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,16,28,28,28,8,28,50,0.0,1014,28,10,235,7,alaska
2018-12-12 18:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,19,27,27,26,3,21,69,0.0,1014,26,10,297,1,alaska
2018-12-12 21:00:00,28,17,0.0,11.1,6,29,11:45 AM,11:26 PM,07:35 AM,06:44 PM,20,26,26,24,10,16,75,0.0,1015,24,10,40,5,alaska
2018-12-13 00:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,19,26,26,24,8,16,73,0.0,1015,24,10,45,4,alaska
2018-12-13 03:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,18,25,25,23,9,10,75,0.0,1014,23,10,58,5,alaska
2018-12-13 06:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,16,20,20,20,11,6,77,0.0,1014,20,10,65,5,alaska
2018-12-13 09:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,16,26,26,25,5,7,57,0.0,1015,25,10,145,4,alaska
2018-12-13 12:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,16,28,28,28,14,8,49,0.0,1013,28,10,194,12,alaska
2018-12-13 15:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,17,28,28,27,16,9,54,0.0,1011,27,10,191,14,alaska
2018-12-13 18:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,19,26,26,25,8,8,71,0.0,1012,25,10,176,5,alaska
2018-12-13 21:00:00,28,20,0.0,11.1,6,36,12:25 PM,No moonset,07:36 AM,06:45 PM,20,26,26,24,4,8,77,0.0,1013,24,10,92,2,alaska
2018-12-14 00:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,19,25,25,23,9,8,78,0.0,1014,23,10,93,5,alaska
2018-12-14 03:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,19,25,25,22,11,12,81,0.0,1014,22,10,85,6,alaska
2018-12-14 06:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,16,19,19,19,12,10,81,0.0,1016,19,10,68,6,alaska
2018-12-14 09:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,18,26,26,24,5,10,67,0.0,1017,24,10,13,5,alaska
2018-12-14 12:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,19,27,27,26,10,29,64,0.0,1016,26,10,294,8,alaska
2018-12-14 15:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,19,27,27,26,19,46,68,0.4,1015,26,9,8,15,alaska
2018-12-14 18:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,18,25,25,23,27,6,71,0.0,1016,23,10,20,18,alaska
2018-12-14 21:00:00,26,19,0.0,11.1,6,43,01:04 PM,12:14 AM,07:36 AM,06:45 PM,18,25,25,24,43,6,72,0.0,1018,24,10,22,30,alaska
2018-12-15 00:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,18,25,25,23,47,10,73,0.0,1019,23,10,24,34,alaska
2018-12-15 03:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,18,25,25,22,48,10,74,0.0,1018,22,10,27,35,alaska
2018-12-15 06:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,14,19,19,19,57,8,72,0.0,1018,19,10,25,42,alaska
2018-12-15 09:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,13,19,19,19,47,8,68,0.0,1020,19,10,28,37,alaska
2018-12-15 12:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,12,21,24,21,43,7,56,0.0,1019,21,10,23,37,alaska
2018-12-15 15:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,13,22,25,22,38,5,58,0.0,1018,22,10,25,33,alaska
2018-12-15 18:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,15,20,20,20,47,4,69,0.0,1018,20,10,24,34,alaska
2018-12-15 21:00:00,22,19,0.0,11.1,6,51,01:41 PM,01:03 AM,07:37 AM,06:45 PM,16,21,24,21,49,5,70,0.0,1020,21,10,24,35,alaska
2018-12-16 00:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,16,21,21,21,47,4,71,0.0,1020,21,10,26,34,alaska
2018-12-16 03:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,15,21,21,21,43,4,72,0.0,1019,21,10,26,30,alaska
2018-12-16 06:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,10,13,15,13,45,4,72,0.0,1020,15,10,27,32,alaska
2018-12-16 09:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,12,18,18,18,37,5,66,0.0,1021,18,10,25,30,alaska
2018-12-16 12:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,12,21,21,21,35,5,58,0.0,1020,21,10,22,30,alaska
2018-12-16 15:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,12,21,21,21,34,5,58,0.0,1017,21,10,25,29,alaska
2018-12-16 18:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,15,21,21,21,43,5,69,0.0,1017,21,10,28,31,alaska
2018-12-16 21:00:00,21,15,0.0,11.1,5,58,02:19 PM,01:51 AM,07:37 AM,06:46 PM,16,21,21,21,41,5,72,0.0,1019,21,10,26,29,alaska
2018-12-17 00:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,16,21,24,21,44,8,73,0.0,1019,21,10,27,31,alaska
2018-12-17 03:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,16,21,21,21,37,6,74,0.0,1019,21,10,28,26,alaska
2018-12-17 06:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,12,16,16,16,30,7,76,0.0,1019,16,10,27,21,alaska
2018-12-17 09:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,14,21,21,21,28,6,67,0.0,1020,21,10,28,23,alaska
2018-12-17 12:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,15,26,26,25,24,5,57,0.0,1018,25,10,27,21,alaska
2018-12-17 15:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,15,26,26,24,24,3,58,0.0,1016,24,10,28,21,alaska
2018-12-17 18:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,17,25,25,23,30,2,71,0.0,1016,23,10,30,20,alaska
2018-12-17 21:00:00,25,16,0.0,11.1,6,65,02:57 PM,02:40 AM,07:38 AM,06:46 PM,17,21,24,21,30,2,77,0.0,1018,21,10,24,20,alaska
2018-12-18 00:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,17,21,21,21,26,3,78,0.0,1017,21,10,21,18,alaska
2018-12-18 03:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,17,20,20,20,25,3,79,0.0,1016,20,10,22,17,alaska
2018-12-18 06:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,13,17,17,17,27,3,80,0.0,1016,17,10,30,16,alaska
2018-12-18 09:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,14,21,24,21,13,3,66,0.0,1016,21,10,32,10,alaska
2018-12-18 12:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,16,27,27,27,2,4,50,0.0,1014,27,10,298,1,alaska
2018-12-18 15:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,16,27,27,26,10,11,53,0.0,1012,26,10,232,9,alaska
2018-12-18 18:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,18,26,26,24,3,12,71,0.0,1012,24,10,167,2,alaska
2018-12-18 21:00:00,27,17,0.0,11.1,6,72,03:38 PM,03:32 AM,07:39 AM,06:47 PM,19,25,25,23,9,7,79,0.0,1014,23,10,78,5,alaska
2018-12-19 00:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,19,25,25,22,13,7,81,0.0,1014,22,10,95,7,alaska
2018-12-19 03:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,19,25,25,22,9,13,82,0.0,1013,22,10,85,5,alaska
2018-12-19 06:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,15,18,18,18,7,13,85,0.0,1013,18,10,92,4,alaska
2018-12-19 09:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,16,21,24,21,10,9,70,0.0,1013,21,10,151,8,alaska
2018-12-19 12:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,16,26,26,24,18,14,58,0.0,1011,24,10,180,15,alaska
2018-12-19 15:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,16,25,25,24,18,15,61,0.0,1010,24,10,181,15,alaska
2018-12-19 18:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,19,25,25,23,16,16,76,0.0,1010,23,10,156,10,alaska
2018-12-19 21:00:00,24,18,0.0,11.1,6,80,04:22 PM,04:26 AM,07:39 AM,06:47 PM,19,25,25,23,14,29,81,0.0,1012,23,10,129,8,alaska
2018-12-20 00:00:00,27,17,0.0,11.1,6,87,05:11 PM,05:23 AM,07:40 AM,06:48 PM,19,25,25,22,14,19,84,0.0,1012,22,10,125,8,alaska
2018-12-20 03:00:00,27,17,0.0,11.1,6,87,05:11 PM,05:23 AM,07:40 AM,06:48 PM,19,22,25,22,14,27,85,0.0,1012,22,10,123,8,alaska
